# Simulation 6 (Up to date)
# 13481 data points written for 4 variables.
# Simulation warnings:
#   Listeners modified the flight simulation
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (110 ft/s)
#   Forward end of airframe is open (radius is > 0):  "Transition"
#
# Time (s),Longitudinal moment of inertia (kg·m²),Corrective moment coefficient (),Damping moment coefficient (​)
0.01,0.972,5.29e4,NaN
0.02,0.972,5.29e4,NaN
0.03,0.971,5.29e4,0.128
0.04,0.971,5.29e4,-0.037
0.05,0.971,5.29e4,0.028
0.06,0.97,5.29e4,0.094
0.07,0.97,5.29e4,0.153
0.08,0.969,5.29e4,0.221
0.09,0.969,5.29e4,0.291
0.1,0.968,5.29e4,0.349
0.11,0.968,5.29e4,0.416
0.12,0.968,5.29e4,0.484
0.13,0.967,5.29e4,0.544
0.14,0.967,5.29e4,0.613
0.15,0.966,5.291e4,0.684
0.16,0.966,5.291e4,0.743
0.169,0.965,5.291e4,0.807
0.178,0.965,5.291e4,0.868
0.187,0.965,5.291e4,0.952
0.199,0.964,5.291e4,1.085
0.218,0.963,5.292e4,1.286
0.246,0.962,5.292e4,1.604
0.288,0.96,5.294e4,1.984
0.338,0.957,5.295e4,2.376
0.388,0.955,5.297e4,2.786
0.438,0.952,5.299e4,3.205
0.488,0.949,5.302e4,3.618
0.538,0.947,5.305e4,4.04
0.588,0.944,5.308e4,4.52
0.638,0.941,5.312e4,5.064
0.688,0.937,5.316e4,5.63
0.738,0.934,5.32e4,6.199
0.788,0.931,5.325e4,6.765
0.838,0.927,5.33e4,7.312
0.888,0.924,5.336e4,7.821
0.938,0.92,5.342e4,8.406
0.988,0.917,5.348e4,9.071
1.038,0.913,5.355e4,9.671
1.088,0.91,5.362e4,10.214
1.136,0.907,5.37e4,10.756
1.186,0.903,5.378e4,11.423
1.236,0.899,5.386e4,12.097
1.286,0.896,5.395e4,12.606
1.327,0.893,5.403e4,13.222
1.377,0.889,5.412e4,13.96
1.427,0.885,5.422e4,14.671
1.477,0.881,5.433e4,15.367
1.527,0.877,5.444e4,16.174
1.577,0.873,5.455e4,16.947
1.627,0.869,5.467e4,17.763
1.677,0.865,5.479e4,18.622
1.727,0.861,5.492e4,19.459
1.776,0.857,5.504e4,20.368
1.826,0.852,5.518e4,21.239
1.874,0.848,5.532e4,22.15
1.924,0.843,5.546e4,23.067
1.974,0.839,5.561e4,23.933
2.024,0.834,5.576e4,24.808
2.074,0.829,5.592e4,25.603
2.124,0.825,5.609e4,26.296
2.174,0.82,5.626e4,26.901
2.224,0.815,5.644e4,27.376
2.274,0.809,5.663e4,27.665
2.324,0.804,5.682e4,27.785
2.374,0.799,5.701e4,27.678
2.424,0.794,5.721e4,27.33
2.474,0.788,5.742e4,26.789
2.524,0.782,5.763e4,26.236
2.574,0.777,5.785e4,25.631
2.624,0.771,5.807e4,25.114
2.674,0.765,5.83e4,24.659
2.724,0.759,5.853e4,24.171
2.774,0.753,5.877e4,23.801
2.824,0.747,5.901e4,23.471
2.874,0.741,5.926e4,23.141
2.924,0.735,5.952e4,22.887
2.974,0.729,5.978e4,22.661
3.024,0.724,6.004e4,22.433
3.074,0.718,6.032e4,22.206
3.124,0.713,6.06e4,22.058
3.174,0.708,6.089e4,21.9
3.224,0.703,6.118e4,21.707
3.274,0.699,6.148e4,21.569
3.324,0.694,6.178e4,21.413
3.374,0.689,6.209e4,21.261
3.424,0.685,6.239e4,21.186
3.474,0.682,6.27e4,21.276
3.48,0.682,6.274e4,21.369
3.488,0.682,6.279e4,21.544
3.501,0.682,6.287e4,21.547
3.52,0.682,6.299e4,21.563
3.549,0.682,6.316e4,21.594
3.591,0.682,6.342e4,21.625
3.641,0.682,6.373e4,21.628
3.691,0.682,6.403e4,21.638
3.741,0.682,6.433e4,21.647
3.791,0.682,6.463e4,21.693
3.841,0.682,6.493e4,21.738
3.891,0.682,6.524e4,21.773
3.941,0.682,6.554e4,21.799
3.991,0.682,6.584e4,21.819
4.041,0.682,6.614e4,21.852
4.091,0.682,6.644e4,21.913
4.141,0.682,6.674e4,21.974
4.191,0.682,6.703e4,22.019
4.241,0.682,6.732e4,22.063
4.291,0.682,6.762e4,22.094
4.341,0.682,6.79e4,22.12
4.391,0.682,6.819e4,22.202
4.441,0.682,6.847e4,22.262
4.48,0.682,6.869e4,2.531
4.53,0.069,6.898e4,-4.485
4.58,0.069,6.926e4,2.536
4.63,0.069,6.953e4,2.534
4.68,0.069,6.981e4,2.538
4.719,0.069,7.003e4,2.542
4.769,0.069,7.032e4,2.533
4.819,0.069,7.061e4,2.546
4.867,0.069,7.089e4,2.542
4.917,0.069,7.117e4,2.549
4.957,0.069,7.14e4,2.555
5.007,0.069,7.168e4,2.554
5.057,0.069,7.196e4,2.565
5.107,0.069,7.224e4,2.558
5.149,0.069,7.248e4,2.561
5.199,0.069,7.275e4,2.568
5.249,0.069,7.303e4,2.566
5.299,0.069,7.33e4,2.567
5.336,0.069,7.351e4,2.574
5.386,0.069,7.378e4,2.572
5.433,0.069,7.403e4,2.573
5.483,0.069,7.43e4,2.574
5.533,0.069,7.457e4,2.572
5.583,0.069,7.484e4,2.566
5.618,0.069,7.503e4,2.566
5.668,0.069,7.53e4,2.557
5.718,0.069,7.557e4,2.554
5.768,0.069,7.585e4,2.545
5.814,0.069,7.61e4,2.533
5.864,0.069,7.638e4,2.525
5.914,0.069,7.665e4,2.515
5.964,0.069,7.692e4,2.502
6.014,0.069,7.72e4,2.492
6.064,0.069,7.747e4,2.477
6.114,0.069,7.774e4,2.467
6.164,0.069,7.8e4,2.453
6.214,0.069,7.827e4,2.436
6.264,0.069,7.854e4,2.423
6.314,0.069,7.88e4,2.402
6.364,0.069,7.906e4,2.388
6.414,0.069,7.933e4,2.37
6.464,0.069,7.959e4,2.352
6.514,0.069,7.985e4,2.335
6.564,0.069,8.011e4,2.318
6.614,0.069,8.036e4,2.299
6.664,0.069,8.062e4,2.282
6.714,0.069,8.088e4,2.262
6.764,0.069,8.113e4,2.243
6.814,0.069,8.139e4,2.225
6.864,0.069,8.165e4,2.205
6.914,0.069,8.191e4,2.186
6.964,0.069,8.218e4,2.168
7.014,0.069,8.244e4,2.149
7.064,0.069,8.27e4,2.13
7.114,0.069,8.296e4,2.109
7.164,0.069,8.322e4,2.09
7.214,0.069,8.347e4,2.07
7.264,0.069,8.373e4,2.05
7.314,0.069,8.398e4,2.03
7.364,0.069,8.424e4,2.01
7.414,0.069,8.449e4,1.99
7.464,0.069,8.474e4,1.97
7.514,0.069,8.499e4,1.951
7.564,0.069,8.524e4,1.932
7.614,0.069,8.549e4,1.913
7.664,0.069,8.574e4,1.892
7.714,0.069,8.598e4,1.873
7.764,0.069,8.623e4,1.853
7.814,0.069,8.647e4,1.835
7.864,0.069,8.671e4,1.816
7.914,0.069,8.696e4,1.797
7.964,0.069,8.72e4,1.779
8.014,0.069,8.744e4,1.76
8.064,0.069,8.767e4,1.741
8.114,0.069,8.791e4,1.724
8.164,0.069,8.816e4,1.707
8.214,0.069,8.841e4,1.69
8.264,0.069,8.865e4,1.672
8.314,0.069,8.89e4,1.655
8.364,0.069,8.914e4,1.639
8.414,0.069,8.938e4,1.622
8.464,0.069,8.962e4,1.606
8.514,0.069,8.986e4,1.591
8.564,0.069,9.01e4,1.575
8.614,0.069,9.034e4,1.56
8.664,0.069,9.058e4,1.545
8.714,0.069,9.081e4,1.53
8.764,0.069,9.105e4,1.516
8.814,0.069,9.128e4,1.502
8.864,0.069,9.152e4,1.488
8.914,0.069,9.175e4,1.475
8.964,0.069,9.198e4,1.461
9.014,0.069,9.221e4,1.448
9.064,0.069,9.244e4,1.434
9.114,0.069,9.267e4,1.421
9.164,0.069,9.29e4,1.409
9.214,0.069,9.312e4,1.396
9.264,0.069,9.335e4,1.384
9.314,0.069,9.358e4,1.371
9.364,0.069,9.38e4,1.359
9.414,0.069,9.402e4,1.347
9.464,0.069,9.425e4,1.336
9.514,0.069,9.447e4,1.324
9.564,0.069,9.469e4,1.313
9.614,0.069,9.491e4,1.302
9.664,0.069,9.513e4,1.291
9.714,0.069,9.536e4,1.28
9.764,0.069,9.558e4,1.269
9.814,0.069,9.581e4,1.259
9.864,0.069,9.604e4,1.248
9.914,0.069,9.626e4,1.239
9.964,0.069,9.649e4,1.228
10.014,0.069,9.671e4,1.218
10.064,0.069,9.693e4,1.208
10.114,0.069,9.716e4,1.199
10.164,0.069,9.738e4,1.189
10.214,0.069,9.76e4,1.18
10.264,0.069,9.782e4,1.171
10.314,0.069,9.804e4,1.162
10.364,0.069,9.826e4,1.153
10.414,0.069,9.847e4,1.144
10.464,0.069,9.869e4,1.135
10.514,0.069,9.891e4,1.127
10.564,0.069,9.912e4,1.118
10.614,0.069,9.934e4,1.11
10.664,0.069,9.955e4,1.101
10.714,0.069,9.976e4,1.094
10.764,0.069,9.997e4,1.085
10.814,0.069,1.002e5,1.078
10.864,0.069,1.004e5,1.069
10.914,0.069,1.006e5,1.062
10.964,0.069,1.008e5,1.054
11.014,0.069,1.01e5,1.046
11.064,0.069,1.012e5,1.039
11.114,0.069,1.014e5,1.031
11.164,0.069,1.016e5,1.024
11.214,0.069,1.018e5,1.017
11.264,0.069,1.021e5,1.01
11.314,0.069,1.023e5,1.002
11.364,0.069,1.025e5,0.996
11.414,0.069,1.027e5,0.988
11.464,0.069,1.029e5,0.986
11.48,0.069,1.029e5,0.987
11.504,0.069,1.03e5,0.959
11.541,0.069,1.032e5,1.008
11.591,0.069,1.034e5,1.05
11.641,0.068,1.036e5,1.101
11.691,0.068,1.039e5,1.185
11.741,0.067,1.041e5,1.275
11.791,0.067,1.044e5,1.374
11.841,0.067,1.047e5,1.473
11.891,0.066,1.05e5,1.566
11.941,0.066,1.053e5,1.657
11.991,0.065,1.057e5,1.736
12.041,0.065,1.06e5,1.794
12.091,0.064,1.064e5,1.824
12.141,0.064,1.067e5,1.823
12.191,0.064,1.071e5,1.783
12.241,0.063,1.075e5,1.735
12.291,0.063,1.08e5,1.686
12.341,0.062,1.084e5,1.647
12.391,0.062,1.089e5,1.613
12.441,0.061,1.094e5,1.581
12.491,0.061,1.098e5,1.557
12.541,0.06,1.104e5,1.531
12.591,0.06,1.109e5,1.511
12.641,0.059,1.114e5,1.494
12.691,0.059,1.12e5,1.48
12.741,0.059,1.126e5,1.464
12.791,0.058,1.133e5,1.457
12.841,0.058,1.139e5,1.449
12.891,0.057,1.146e5,1.44
12.941,0.057,1.153e5,1.437
12.991,0.057,1.16e5,1.426
13.041,0.056,1.167e5,1.42
13.091,0.056,1.174e5,1.41
13.141,0.056,1.181e5,1.399
13.191,0.055,1.189e5,1.396
13.241,0.055,1.197e5,1.387
13.291,0.055,1.205e5,1.376
13.341,0.054,1.213e5,1.376
13.391,0.054,1.221e5,1.375
13.441,0.054,1.23e5,1.366
13.491,0.054,1.239e5,1.365
13.541,0.053,1.248e5,1.369
13.591,0.053,1.257e5,1.36
13.641,0.053,1.266e5,1.352
13.691,0.053,1.275e5,1.353
13.741,0.053,1.284e5,1.35
13.791,0.053,1.293e5,1.343
13.841,0.052,1.303e5,1.333
13.891,0.052,1.312e5,1.326
13.941,0.052,1.322e5,1.319
13.991,0.052,1.332e5,1.321
14.041,0.052,1.342e5,1.315
14.091,0.052,1.352e5,1.306
14.141,0.052,1.362e5,1.3
14.191,0.052,1.373e5,1.293
14.241,0.051,1.383e5,1.284
14.291,0.051,1.393e5,1.278
14.341,0.051,1.404e5,1.274
14.391,0.051,1.414e5,1.271
14.441,0.051,1.424e5,1.263
14.491,0.051,1.435e5,1.257
14.541,0.051,1.446e5,1.25
14.591,0.051,1.457e5,1.244
14.641,0.051,1.468e5,1.24
14.691,0.051,1.479e5,1.233
14.741,0.051,1.49e5,1.227
14.791,0.051,1.501e5,1.22
14.841,0.05,1.513e5,1.214
14.891,0.05,1.524e5,1.207
14.941,0.05,1.535e5,1.2
14.991,0.05,1.546e5,1.194
15.041,0.05,1.557e5,1.188
15.091,0.05,1.569e5,1.183
15.141,0.05,1.581e5,1.177
15.191,0.05,1.593e5,1.17
15.241,0.05,1.605e5,1.164
15.291,0.05,1.617e5,1.158
15.341,0.05,1.629e5,1.153
15.391,0.05,1.641e5,1.149
15.441,0.05,1.653e5,1.142
15.491,0.05,1.665e5,1.136
15.541,0.05,1.677e5,1.13
15.591,0.05,1.689e5,1.128
15.641,0.05,1.701e5,1.122
15.691,0.05,1.713e5,1.117
15.741,0.05,1.726e5,1.111
15.791,0.05,1.739e5,1.107
15.841,0.049,1.751e5,1.102
15.891,0.049,1.764e5,1.101
15.941,0.049,1.777e5,1.096
15.991,0.049,1.789e5,1.091
